	Id	Predicted category
167	8344	Business
168	4311	Business
169	6258	Football
170	3392	Business
171	3657	Film
172	10958	Football
173	8732	Film
174	7260	Football
175	7890	Business
176	14973	Football
177	11573	Film
178	4212	Football
179	15131	Film
180	8068	Business
181	3409	Business
182	13416	Politics
183	190	Business
184	14296	Film
185	10274	Football
186	250	Football
187	14613	Football
188	9130	Film
189	9427	Film
190	5367	Football
191	1862	Film
192	2595	Technology
193	13604	Technology
194	13779	Business
195	11973	Technology
196	5226	Football
197	9825	Business
198	3141	Business
199	2961	Business
200	415	Business
201	1080	Football
202	4639	Technology
203	14083	Film
204	10908	Technology
205	7991	Football
206	5396	Technology
207	535	Politics
208	2152	Film
209	5818	Politics
210	12064	Politics
211	3698	Technology
212	3373	Business
213	5754	Football
214	4520	Business
215	8928	Football
216	6337	Politics
217	15216	Film
218	2660	Film
219	14293	Politics
220	11136	Film
221	7306	Politics
222	8970	Politics
223	12245	Technology
224	3836	Film
225	4637	Football
226	6815	Film
227	10189	Film
228	2867	Football
229	8845	Politics
230	14790	Football
231	3783	Business
232	13491	Politics
233	2196	Politics
234	7564	Football
235	10048	Film
236	13713	Football
237	6471	Politics
238	4812	Business
239	6722	Technology
240	7593	Business
241	2811	Film
242	12750	Business
243	14221	Football
244	1925	Technology
245	923	Politics
246	9985	Football
247	10878	Football
248	9635	Politics
249	7095	Film
250	9298	Film
251	8306	Football
252	15071	Politics
253	364	Business
254	4710	Business
255	7754	Business
256	7162	Technology
257	6313	Politics
258	11687	Business
259	3519	Business
260	6810	Technology
261	3610	Technology
262	12112	Football
263	5153	Film
264	13966	Film
265	6853	Business
266	12231	Football
267	8055	Business
268	6063	Politics
269	10676	Business
270	2463	Football
271	917	Film
272	11552	Politics
273	12899	Film
274	9329	Football
275	8878	Film
276	13289	Business
277	8839	Football
278	1966	Football
279	9441	Football
280	3152	Politics
281	6146	Football
282	15136	Film
283	2945	Politics
284	9700	Politics
285	9510	Politics
286	5184	Technology
287	12841	Film
288	12664	Technology
289	14904	Football
290	12644	Football
291	12464	Film
292	8009	Film
293	2010	Football
294	1464	Technology
295	13614	Business
296	7649	Football
297	15279	Technology
298	3320	Film
299	3957	Technology
300	444	Film
301	13351	Football
302	1154	Politics
303	10080	Politics
304	13085	Politics
305	6509	Business
306	6370	Football
307	12500	Film
308	9348	Film
309	11453	Football
310	12377	Business
311	11498	Film
312	4020	Politics
313	8502	Film
314	1484	Politics
315	12490	Business
316	12395	Politics
317	1103	Football
318	9740	Politics
319	4688	Film
320	474	Business
321	8973	Technology
322	9998	Politics
323	6160	Film
324	950	Politics
325	11866	Football
326	8339	Technology
327	5175	Business
328	7368	Politics
329	11293	Politics
330	12174	Football
331	2656	Football
332	12252	Film
333	14995	Business
334	2733	Football
335	2122	Film
336	2752	Football
337	13140	Politics
338	9106	Politics
339	6593	Film
340	6797	Technology
341	13860	Business
342	13230	Business
343	3954	Business
344	7727	Technology
345	12673	Technology
346	13579	Business
347	13227	Business
348	9505	Technology
349	14584	Film
350	6510	Politics
351	3769	Football
352	10938	Film
353	9101	Film
354	7595	Film
355	3743	Business
356	7678	Technology
357	9517	Technology
358	507	Film
359	8420	Business
360	1562	Football
361	5112	Business
362	4983	Football
363	2941	Football
364	12325	Politics
365	12294	Film
366	4729	Business
367	12463	Football
368	13573	Technology
369	2652	Business
370	150	Film
371	3565	Business
372	14501	Business
373	4641	Football
374	13380	Football
375	3529	Politics
376	9784	Business
377	13074	Film
378	9814	Film
379	12076	Film
380	6770	Politics
381	1361	Business
382	12315	Football
383	340	Film
384	8619	Politics
385	675	Film
386	11255	Politics
387	5746	Film
388	12695	Politics
389	14037	Football
390	1064	Football
391	13211	Politics
392	3771	Film
393	5876	Film
394	1412	Politics
395	12830	Business
396	9728	Politics
397	11404	Film
398	2427	Business
399	8641	Business
400	10258	Technology
401	4332	Business
402	12225	Politics
403	455	Football
404	11836	Business
405	4752	Technology
406	11168	Business
407	13870	Business
408	904	Football
409	7112	Football
410	2864	Business
411	9217	Politics
412	9640	Film
413	8526	Technology
414	4546	Business
415	4574	Football
416	6384	Politics
417	6927	Technology
418	8552	Technology
419	4552	Technology
420	5552	Film
421	14641	Football
422	11195	Film
423	3183	Politics
424	12092	Football
425	8984	Technology
426	1534	Business
427	1006	Film
428	4119	Politics
429	11277	Politics
430	7912	Business
431	14921	Football
432	11784	Technology
433	8018	Business
434	5333	Film
435	15005	Business
436	8509	Technology
437	15144	Technology
438	1008	Politics
439	14686	Politics
440	7046	Politics
441	7155	Business
442	2928	Business
443	9378	Football
444	3285	Football
445	2135	Business
446	10086	Football
447	4447	Film
448	13346	Football
449	1506	Business
450	10528	Business
451	8910	Politics
452	12276	Film
453	5703	Politics
454	12496	Business
455	12188	Technology
456	5067	Film
457	10404	Business
458	3568	Politics
459	5204	Film
460	6669	Business
461	14532	Film
462	4643	Politics
463	5901	Technology
464	5165	Technology
465	5938	Film
466	8836	Film
467	7047	Football
468	206	Business
469	5030	Film
470	12849	Football
471	7705	Business
472	1507	Politics
473	15254	Football
474	8166	Football
475	2983	Film
476	4260	Film
477	12594	Film
478	5740	Film
479	14416	Film
480	6864	Politics
481	13118	Football
482	6200	Film
483	842	Football
484	8261	Football
485	10599	Politics
486	5973	Business
487	2034	Football
488	4999	Football
489	3984	Politics
490	2899	Football
491	2726	Politics
492	6997	Politics
493	2846	Politics
494	10105	Business
495	8017	Film
496	1240	Business
497	8352	Business
498	9577	Business
499	10660	Business
500	5872	Business
501	8923	Film
502	3446	Business
503	1245	Business
504	2388	Technology
505	13767	Film
506	5216	Football
507	13134	Business
508	5387	Politics
509	3439	Politics
510	10966	Business
511	9377	Football
512	13915	Business
513	5017	Technology
514	13301	Football
515	4038	Business
516	12786	Football
517	8331	Politics
518	4786	Technology
519	1700	Technology
520	10289	Football
521	8852	Business
522	294	Technology
523	3186	Technology
524	6713	Film
525	3190	Technology
526	14114	Politics
527	13690	Film
528	12411	Technology
529	2647	Football
530	2018	Technology
531	12345	Business
532	1826	Football
533	877	Business
534	1111	Business
535	11178	Technology
536	9701	Business
537	1053	Business
538	2550	Film
539	3623	Football
540	4823	Politics
541	7597	Football
542	4117	Film
543	7537	Politics
544	1830	Technology
545	13724	Technology
546	2523	Business
547	4873	Business
548	272	Business
549	8031	Football
550	10043	Football
551	6029	Football
552	15275	Technology
553	12156	Film
554	9568	Football
555	1561	Football
556	8370	Film
557	10626	Business
558	14302	Politics
559	4661	Politics
560	398	Football
561	11578	Film
562	12802	Politics
563	10842	Football
564	183	Politics
565	15312	Football
566	11511	Technology
567	7506	Football
568	2457	Technology
569	6368	Technology
570	5250	Football
571	13310	Politics
572	14160	Politics
573	5772	Business
574	3742	Business
575	8919	Technology
576	512	Politics
577	8667	Business
578	10590	Business
579	14906	Football
580	8796	Business
581	10826	Politics
582	9601	Politics
583	6768	Business
584	2993	Business
585	8035	Technology
586	98	Technology
587	4196	Film
588	6845	Technology
589	1238	Football
590	8939	Technology
591	14035	Technology
592	11615	Film
593	12848	Football
594	6327	Football
595	879	Football
596	345	Business
597	15202	Film
598	14794	Business
599	12433	Business
600	5654	Film
601	5082	Business
602	1774	Football
603	8793	Film
604	11857	Politics
605	679	Business
606	11360	Politics
607	6507	Technology
608	11962	Technology
609	14341	Politics
610	920	Business
611	2271	Football
612	10695	Technology
613	9215	Business
614	12404	Technology
615	11555	Politics
616	6395	Film
617	6672	Business
618	8899	Technology
619	2982	Football
620	13460	Politics
621	13278	Football
622	3911	Football
623	6159	Football
624	3793	Film
625	3514	Technology
626	5494	Football
627	14204	Politics
628	8678	Technology
629	7438	Politics
630	906	Football
631	7725	Business
632	8969	Business
633	4077	Technology
634	13628	Football
635	3099	Technology
636	5064	Business
637	823	Business
638	546	Film
639	1863	Business
640	9777	Business
641	2596	Film
642	1865	Politics
643	7052	Technology
644	13949	Technology
645	5919	Politics
646	10811	Football
647	2145	Politics
648	9410	Football
649	13555	Business
650	6743	Football
651	12413	Football
652	15316	Politics
653	5392	Business
654	7111	Politics
655	13161	Technology
656	13130	Football
657	10791	Technology
658	4839	Football
659	880	Politics
660	13903	Politics
661	12497	Politics
662	6423	Technology
663	8427	Business
664	11748	Film
665	14996	Football
666	13811	Football
667	3368	Politics
668	5604	Football
669	10027	Football
670	10251	Technology
671	3156	Football
672	4455	Technology
673	13544	Politics
674	11662	Football
675	5946	Football
676	6235	Business
677	14771	Football
678	31	Politics
679	11877	Technology
680	13743	Film
681	578	Politics
682	9166	Football
683	4302	Business
684	6373	Football
685	2739	Film
686	15226	Football
687	10663	Technology
688	7852	Football
689	3226	Politics
690	13251	Politics
691	10532	Politics
692	214	Football
693	14018	Politics
694	6339	Football
695	8078	Business
696	14539	Film
697	7467	Football
698	4550	Football
699	1773	Business
700	2845	Football
701	6467	Business
702	8475	Film
703	13731	Politics
704	14558	Football
705	5974	Football
706	1019	Technology
707	13589	Technology
708	8354	Business
709	1136	Politics
710	7876	Football
711	9272	Business
712	1693	Business
713	8668	Film
714	9409	Football
715	11899	Politics
716	4971	Football
717	7018	Football
718	114	Technology
719	14084	Technology
720	376	Film
721	13239	Politics
722	1448	Football
723	8742	Football
724	457	Football
725	11616	Football
726	3250	Technology
727	9663	Football
728	13670	Film
729	9875	Business
730	2936	Politics
731	2264	Football
732	9403	Football
733	10543	Technology
734	10769	Politics
735	892	Politics
736	4862	Football
737	3871	Film
738	4987	Politics
739	7403	Football
740	10550	Business
741	12069	Football
742	7903	Football
743	197	Film
744	9226	Film
745	8400	Technology
746	4694	Politics
747	8328	Business
748	9871	Politics
749	4476	Politics
750	2894	Technology
751	12832	Film
752	14112	Politics
753	9246	Film
754	2030	Football
755	12425	Football
756	2531	Film
757	10032	Football
758	48	Business
759	11527	Business
760	14236	Football
761	3950	Business
762	3687	Politics
763	11287	Film
764	1018	Film
765	6677	Business
766	11960	Football
767	2446	Politics
768	22	Politics
769	12479	Football
770	8665	Film
771	2016	Football
772	4796	Film
773	6573	Football
774	2968	Football
775	6980	Football
776	11766	Football
777	3343	Film
778	14606	Business
779	10869	Business
780	12363	Business
781	10045	Business
782	2450	Business
783	8808	Politics
784	5088	Film
785	5001	Film
786	13049	Football
787	3865	Technology
788	188	Business
789	11994	Football
790	11823	Business
791	1336	Business
792	14202	Business
793	8378	Technology
794	14637	Business
795	6415	Football
796	1199	Football
797	3701	Business
798	13664	Film
799	10900	Football
800	3723	Film
801	11937	Film
802	12260	Technology
803	323	Technology
804	1594	Politics
805	5952	Film
806	7203	Politics
807	10915	Politics
808	13751	Football
809	969	Film
810	3909	Business
811	3395	Politics
812	14433	Politics
813	3962	Business
814	5102	Film
815	7131	Business
816	3788	Film
817	8545	Football
818	9004	Business
819	9237	Football
820	2044	Film
821	4537	Politics
822	14063	Film
823	9737	Business
824	7413	Technology
825	5539	Business
826	12980	Politics
827	11978	Business
828	11736	Business
829	4018	Football
830	3220	Film
831	104	Politics
832	4274	Politics
833	492	Politics
834	14671	Technology
835	900	Technology
836	9192	Politics
837	12484	Football
838	309	Football
839	2206	Politics
840	554	Film
841	5095	Film
842	13861	Politics
843	6599	Business
844	3973	Business
845	2185	Business
846	664	Politics
847	3180	Politics
848	11384	Business
849	13612	Business
850	7863	Politics
851	6497	Football
852	11199	Football
853	4867	Politics
854	7211	Technology
855	11926	Football
856	3469	Business
857	10148	Business
858	10582	Business
859	2486	Football
860	9603	Business
861	4395	Business
862	14909	Politics
863	499	Football
864	7524	Football
865	6232	Politics
866	4037	Film
867	11274	Business
868	2520	Politics
869	10877	Film
870	1839	Football
871	6330	Politics
872	12379	Film
873	11146	Politics
874	6008	Business
875	13800	Business
876	3256	Politics
877	13219	Business
878	5050	Film
879	10047	Politics
880	10172	Business
881	12310	Business
882	8425	Politics
883	14760	Football
884	8528	Business
885	3834	Politics
886	3510	Business
887	8008	Film
888	5546	Film
889	2066	Film
890	11671	Technology
891	14578	Film
892	7278	Business
893	12126	Film
894	14646	Football
895	1272	Football
896	14208	Film
897	7882	Business
898	2513	Business
899	12905	Politics
900	10622	Football
901	1146	Film
902	14998	Film
903	9231	Football
904	8243	Film
905	9486	Film
906	6836	Football
907	4170	Politics
908	12173	Business
909	2408	Business
910	10678	Technology
911	5070	Film
912	4342	Business
913	6569	Politics
914	7558	Business
915	4739	Politics
916	8325	Business
917	9578	Business
918	5803	Football
919	9147	Film
920	13468	Business
921	4039	Politics
922	10070	Football
923	2769	Football
924	4795	Politics
925	15319	Technology
926	2078	Politics
927	14654	Film
928	11140	Football
929	7308	Business
930	7708	Technology
931	10170	Film
932	13221	Business
933	4452	Film
934	13943	Football
935	996	Football
936	6798	Football
937	6404	Film
938	4057	Film
939	10467	Technology
940	5144	Film
941	9499	Politics
942	14658	Film
943	1273	Politics
944	10206	Politics
945	7662	Politics
946	10373	Film
947	2248	Film
948	1077	Football
949	10688	Business
950	7465	Football
951	9766	Politics
952	11355	Film
953	10700	Business
954	5991	Football
955	5845	Football
956	9822	Business
957	5192	Business
958	14864	Politics
959	13702	Football
960	14447	Business
961	2483	Politics
962	4576	Football
963	3122	Politics
964	4477	Politics
965	4660	Football
966	12029	Business
967	6253	Film
968	12651	Football
969	3399	Film
970	468	Technology
971	7098	Business
972	9136	Business
973	2027	Business
974	14528	Technology
975	9394	Technology
976	12917	Football
977	9879	Football
978	3608	Business
979	6213	Business
980	8529	Business
981	3461	Film
982	8995	Politics
983	9451	Film
984	8220	Film
985	12099	Technology
986	13053	Politics
987	2624	Business
988	7301	Film
989	6819	Politics
990	1087	Business
991	625	Politics
992	15068	Business
993	1644	Politics
994	10379	Politics
995	4789	Business
996	4282	Film
997	7139	Business
998	14376	Politics
999	7010	Football
1000	3825	Football
1001	14053	Business
1002	13640	Film
1003	3435	Politics
1004	7296	Film
1005	14596	Football
1006	11567	Film
1007	6198	Film
1008	10112	Football
1009	14745	Business
1010	9075	Film
1011	5376	Business
1012	10259	Business
1013	5716	Technology
1014	1794	Politics
1015	629	Politics
1016	6191	Football
1017	12201	Film
1018	15142	Football
1019	11787	Football
1020	1590	Business
1021	1435	Politics
1022	4004	Politics
1023	9605	Politics
1024	12760	Technology
1025	10846	Football
1026	386	Football
1027	618	Technology
1028	13629	Politics
1029	10122	Politics
1030	7042	Politics
1031	3767	Politics
1032	4079	Business
1033	13843	Film
1034	13795	Football
1035	13138	Football
1036	13917	Football
1037	6697	Politics
1038	11846	Football
1039	1739	Technology
1040	13798	Politics
1041	10487	Film
1042	11808	Business
1043	10253	Politics
1044	3011	Technology
1045	10728	Politics
1046	832	Technology
1047	11086	Football
1048	14166	Football
1049	14242	Politics
1050	2581	Politics
1051	676	Football
1052	9370	Business
1053	8598	Technology
1054	14129	Film
1055	10742	Business
1056	11106	Football
1057	949	Film
1058	13419	Politics
1059	1477	Film
1060	9925	Football
1061	2791	Business
1062	12725	Football
1063	212	Football
1064	3760	Business
1065	9810	Football
1066	14590	Film
1067	3315	Film
1068	14169	Football
1069	13833	Politics
1070	8005	Business
1071	2990	Business
1072	9937	Business
1073	13818	Football
1074	1937	Business
1075	13176	Film
1076	10060	Film
1077	6545	Business
1078	14418	Business
1079	8738	Politics
1080	11872	Business
1081	13260	Film
1082	1125	Film
1083	8470	Politics
1084	10650	Technology
1085	10155	Technology
1086	10073	Football
1087	9983	Business
1088	9930	Technology
1089	11729	Business
1090	497	Politics
1091	11864	Film
1092	13952	Technology
1093	1633	Technology
1094	14527	Football
1095	5207	Business
1096	5508	Technology
1097	11118	Politics
1098	2579	Film
1099	2567	Business
1100	5282	Business
1101	7582	Film
1102	6204	Film
1103	1786	Football
1104	476	Technology
1105	3815	Football
1106	13919	Politics
1107	1375	Business
1108	11101	Football
1109	11208	Football
1110	4221	Business
1111	6375	Business
1112	4516	Business
1113	11693	Technology
1114	8574	Politics
1115	4231	Film
1116	13883	Business
1117	13596	Politics
1118	5498	Politics
1119	5532	Football
1120	7977	Film
1121	10325	Technology
1122	15270	Film
1123	13630	Business
1124	10554	Film
1125	15280	Football
1126	6033	Technology
1127	6205	Business
1128	11021	Business
1129	4417	Film
1130	15318	Business
1131	1961	Technology
1132	4697	Football
1133	13605	Technology
1134	11318	Business
1135	5862	Technology
1136	8273	Film
1137	13099	Football
1138	3133	Film
1139	9463	Film
1140	12027	Business
1141	4017	Football
1142	9979	Football
1143	3955	Technology
1144	5655	Football
1145	13784	Football
1146	14600	Politics
1147	13700	Politics
1148	211	Film
1149	6576	Business
1150	1796	Business
1151	14273	Politics
1152	8477	Business
1153	12712	Football
1154	8555	Football
1155	15241	Politics
1156	7651	Football
1157	8061	Football
1158	5779	Film
1159	3920	Politics
1160	11880	Business
1161	3115	Film
1162	9778	Film
1163	13662	Technology
1164	4160	Film
1165	5114	Film
1166	11605	Politics
1167	14407	Football
1168	13348	Business
1169	3750	Politics
1170	13638	Business
1171	2003	Politics
1172	2077	Politics
1173	12889	Politics
1174	11874	Football
1175	7683	Business
1176	7567	Business
1177	3206	Business
1178	11491	Football
1179	10945	Politics
1180	10993	Politics
1181	8944	Politics
1182	10864	Film
1183	4389	Film
1184	14908	Football
1185	7245	Film
1186	10176	Film
1187	15231	Politics
1188	179	Football
1189	4080	Film
1190	7723	Business
1191	1202	Politics
1192	8180	Football
1193	13790	Football
1194	278	Technology
1195	2707	Politics
1196	4337	Business
1197	4967	Football
1198	15061	Politics
1199	3480	Film
1200	14361	Politics
1201	7660	Film
1202	6129	Politics
1203	6767	Politics
1204	2088	Politics
1205	15001	Politics
1206	2795	Politics
1207	9472	Business
1208	947	Film
1209	4778	Film
1210	10996	Business
1211	14523	Film
1212	13159	Politics
1213	372	Football
1214	13886	Football
1215	1993	Business
1216	11924	Football
1217	12175	Business
1218	7173	Football
1219	6494	Politics
1220	4578	Politics
1221	7585	Technology
1222	14002	Film
1223	14888	Politics
1224	11728	Business
1225	2334	Technology
1226	6552	Politics
1227	3340	Politics
1228	439	Politics
1229	1049	Business
1230	7395	Politics
1231	9723	Football
1232	9748	Technology
1233	2218	Technology
1234	5171	Film
1235	445	Football
1236	12091	Football
1237	2344	Football
1238	11248	Politics
1239	2767	Technology
1240	11505	Business
1241	12958	Business
1242	3181	Film
1243	1939	Film
1244	15134	Football
1245	7674	Technology
1246	2623	Business
1247	5467	Business
1248	6863	Film
1249	5057	Film
1250	4612	Football
1251	12775	Business
1252	3875	Football
1253	435	Politics
1254	13766	Business
1255	1007	Football
1256	7910	Business
1257	991	Business
1258	14367	Politics
1259	2319	Politics
1260	10458	Politics
1261	8916	Technology
1262	812	Business
1263	12304	Technology
1264	4486	Football
1265	8451	Business
1266	9989	Business
1267	1983	Technology
1268	4026	Film
1269	12756	Politics
1270	6294	Technology
1271	6737	Politics
1272	12485	Football
1273	11987	Politics
1274	8974	Politics
1275	2236	Football
1276	15169	Politics
1277	4308	Football
1278	5094	Film
1279	11482	Film
1280	8232	Football
1281	5665	Politics
1282	981	Film
1283	11558	Football
1284	1135	Business
1285	2126	Football
1286	10777	Business
1287	3098	Politics
1288	2363	Business
1289	1393	Football
1290	2438	Film
1291	1344	Politics
1292	3818	Football
1293	2518	Politics
1294	12822	Film
1295	883	Politics
1296	10297	Politics
1297	11343	Business
1298	6869	Film
1299	1820	Politics
1300	4025	Politics
1301	2025	Technology
1302	9085	Politics
1303	6975	Politics
1304	7961	Business
1305	12680	Politics
1306	6326	Technology
1307	7520	Business
1308	1932	Politics
1309	11004	Film
1310	4318	Business
1311	8600	Politics
1312	7888	Business
1313	8026	Football
1314	702	Business
1315	5239	Business
1316	4929	Film
1317	4737	Football
1318	7019	Film
1319	352	Politics
1320	11862	Football
1321	13367	Film
1322	11763	Business
1323	14340	Football
1324	10455	Business
1325	5024	Film
1326	2711	Film
1327	3228	Technology
1328	12312	Football
1329	1179	Film
1330	480	Technology
1331	8147	Business
1332	8249	Football
1333	13202	Politics
1334	13281	Business
1335	2540	Politics
1336	15046	Film
1337	9323	Politics
1338	8070	Politics
1339	241	Politics
1340	581	Business
1341	7005	Film
1342	10314	Business
1343	5061	Football
1344	3231	Politics
1345	7614	Business
1346	7744	Politics
1347	1165	Film
1348	1995	Business
1349	6739	Football
1350	8084	Technology
1351	2593	Technology
1352	4668	Business
1353	9177	Film
1354	2847	Football
1355	7025	Film
1356	6587	Politics
1357	12158	Film
1358	5729	Football
1359	7972	Politics
1360	3504	Politics
1361	12456	Politics
1362	2251	Film
1363	14875	Technology
1364	10975	Business
1365	3870	Football
1366	2327	Politics
1367	7758	Business
1368	10322	Film
1369	5684	Film
1370	61	Football
1371	6303	Football
1372	14772	Politics
1373	8998	Football
1374	11028	Business
1375	5370	Business
1376	4846	Politics
1377	4868	Politics
1378	8247	Film
1379	8151	Business
1380	13665	Business
1381	4779	Technology
1382	264	Film
1383	7518	Football
1384	5759	Politics
1385	4922	Film
1386	3071	Business
1387	5150	Business
1388	3817	Politics
1389	1297	Film
1390	13674	Technology
1391	4450	Football
1392	532	Business
1393	13973	Football
1394	8311	Politics
1395	13615	Film
1396	8200	Politics
1397	10798	Film
1398	1474	Politics
1399	117	Film
1400	9853	Football
1401	9809	Football
1402	2689	Film
1403	2744	Business
1404	8901	Business
1405	11548	Football
1406	1930	Business
1407	11282	Politics
1408	11770	Football
1409	13224	Technology
1410	14678	Football
1411	13980	Business
1412	11732	Politics
1413	2572	Technology
1414	6617	Film
1415	460	Film
1416	6308	Business
1417	453	Football
1418	763	Film
1419	5279	Business
1420	7077	Politics
1421	15043	Politics
1422	15207	Film
1423	12004	Politics
1424	13320	Politics
1425	4193	Politics
1426	1132	Business
1427	13922	Technology
1428	6175	Football
1429	145	Politics
1430	14573	Film
1431	4980	Film
1432	1936	Football
1433	6103	Film
1434	14970	Business
1435	6647	Film
1436	2992	Technology
1437	6155	Business
1438	6547	Film
1439	14139	Football
1440	1659	Football
1441	4879	Film
1442	9591	Technology
1443	7667	Business
1444	5343	Business
1445	9644	Business
1446	12737	Politics
1447	8119	Football
1448	11786	Football
1449	6240	Film
1450	11664	Business
1451	7517	Film
1452	9413	Politics
1453	2758	Football
1454	7407	Politics
1455	7652	Business
1456	6875	Politics
1457	9575	Politics
1458	3443	Football
1459	7326	Football
1460	5984	Football
1461	1929	Politics
1462	15176	Football
1463	6948	Business
1464	3057	Football
1465	2980	Football
1466	5170	Business
1467	2364	Technology
1468	13385	Business
1469	2786	Film
1470	14235	Football
1471	8002	Technology
1472	2017	Football
1473	9185	Film
1474	348	Politics
1475	13950	Film
1476	207	Politics
1477	12915	Technology
1478	3891	Film
1479	1001	Politics
1480	9828	Football
1481	4171	Business
1482	4175	Politics
1483	88	Football
1484	5588	Film
1485	4762	Football
1486	6437	Politics
1487	13637	Football
1488	11111	Politics
1489	6151	Politics
1490	8006	Film
1491	3292	Football
1492	2094	Football
1493	7231	Football
1494	14920	Film
1495	11105	Politics
1496	11800	Film
1497	742	Politics
1498	5747	Football
1499	1168	Politics
1500	12324	Technology
1501	10036	Technology
1502	4952	Football
1503	2292	Football
1504	14844	Politics
1505	1241	Film
1506	3814	Technology
1507	8909	Technology
1508	5005	Politics
1509	3899	Technology
1510	12650	Politics
1511	723	Business
1512	6461	Film
1513	7008	Technology
1514	4120	Politics
1515	7598	Football
1516	15073	Business
1517	6010	Business
1518	13027	Business
1519	3404	Technology
1520	2389	Film
1521	1898	Politics
1522	6817	Politics
1523	1582	Film
1524	4904	Film
1525	2256	Football
1526	14250	Politics
1527	14318	Football
1528	6376	Technology
1529	9617	Film
1530	1410	Film
1531	1836	Film
1532	12570	Technology
1533	5386	Football
1534	14117	Business
1535	12209	Business
1536	6957	Politics
1537	2710	Politics
1538	15247	Football
1539	14575	Football
1540	11415	Politics
1541	2903	Business
1542	14515	Politics
1543	7906	Football
1544	8754	Business
1545	3455	Film
1546	13587	Business
1547	597	Football
1548	14462	Football
1549	8578	Film
1550	3287	Football
1551	12113	Politics
1552	2724	Politics
1553	5632	Politics
1554	11296	Politics
1555	2830	Football
1556	8522	Film
1557	8274	Politics
1558	10023	Politics
1559	12056	Politics
1560	4638	Football
1561	6906	Film
1562	10724	Football
1563	6886	Politics
1564	2458	Film
1565	5907	Football
1566	12536	Film
1567	12706	Football
1568	1232	Politics
1569	2695	Business
1570	13081	Politics
1571	6245	Film
1572	416	Business
1573	13545	Business
1574	11896	Film
1575	14344	Football
1576	7545	Business
1577	5735	Football
1578	8634	Politics
1579	14409	Football
1580	4633	Film
1581	6995	Football
1582	15168	Film
1583	10603	Business
1584	3219	Film
1585	6222	Politics
1586	15077	Politics
1587	8688	Politics
1588	3778	Technology
1589	3531	Football
1590	14951	Technology
1591	13737	Business
1592	7309	Business
1593	9999	Football
1594	13619	Business
1595	6158	Film
1596	13498	Film
1597	1339	Business
1598	13806	Business
1599	10347	Film
1600	7217	Film
1601	15080	Technology
1602	6190	Politics
1603	6741	Football
1604	1293	Film
1605	14924	Football
1606	15262	Film
1607	8163	Football
1608	7140	Business
1609	8882	Business
1610	7365	Business
1611	69	Politics
1612	5844	Technology
1613	4948	Politics
1614	9005	Politics
